Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);;
18/10/2021;32,2;26,995833;23;;
19/10/2021;31,6;26,433333;22;;
20/10/2021;33,1;27,754167;23,4;;
21/10/2021;32,9;27,591667;23,6;;
22/10/2021;33,3;27,7125;23,5;;
23/10/2021;33,2;27,341667;23,7;;
24/10/2021;32,9;28,329167;25,7;;
25/10/2021;32,4;27,6;23,6;;
26/10/2021;31,1;26,9;23,6;;
27/10/2021;31,2;26,370833;22,3;;
28/10/2021;30,9;25,770833;21,6;;
29/10/2021;27,9;25,125;22,5;;
30/10/2021;31,4;25,604167;20,1;;
31/10/2021;29;25,479167;22,2;;
01/11/2021;32;27,354167;22,4;;
02/11/2021;32,6;27,570833;23,3;;
03/11/2021;33,7;28,6125;25,9;;
04/11/2021;33,8;27,895833;23,5;;
05/11/2021;34,4;28,004167;22,8;;
06/11/2021;34,3;27,7875;22,4;;
07/11/2021;33,6;28,729167;26;;
08/11/2021;32,9;28,033333;23,9;;
09/11/2021;32,9;27,508333;22,5;;
10/11/2021;32,1;27,616667;24,2;;
11/11/2021;31,9;27,454167;24,5;;
12/11/2021;null;null;23,9;;
13/11/2021;null;null;null;;
14/11/2021;null;null;null;;
15/11/2021;null;null;null;;
16/11/2021;null;null;null;;
17/11/2021;null;null;null;;
18/11/2021;null;null;null;;
19/11/2021;null;null;null;;
20/11/2021;null;null;null;;
21/11/2021;null;null;null;;
22/11/2021;null;null;null;;
23/11/2021;null;null;null;;
24/11/2021;null;null;null;;
25/11/2021;null;null;null;;
26/11/2021;null;null;null;;
27/11/2021;null;null;null;;
28/11/2021;null;null;null;;
29/11/2021;null;null;null;;
30/11/2021;null;null;null;;
01/12/2021;null;null;null;;
02/12/2021;null;null;null;;
03/12/2021;null;null;null;;
04/12/2021;null;null;null;;
05/12/2021;null;null;null;;
06/12/2021;null;null;null;;
07/12/2021;null;null;null;;
08/12/2021;null;null;null;;
09/12/2021;null;null;null;;
10/12/2021;null;null;null;;
11/12/2021;null;null;null;;
12/12/2021;null;null;null;;
13/12/2021;null;null;null;;
14/12/2021;null;null;null;;
15/12/2021;null;null;null;;
16/12/2021;null;null;null;;
17/12/2021;null;null;null;;
18/12/2021;null;null;null;;
19/12/2021;null;null;null;;
20/12/2021;null;null;null;;
21/12/2021;null;null;null;;
22/12/2021;null;null;null;;
23/12/2021;null;null;null;;
24/12/2021;null;null;null;;
25/12/2021;null;null;null;;
26/12/2021;null;null;null;;
27/12/2021;null;null;null;;
28/12/2021;null;null;null;;
29/12/2021;null;null;null;;
30/12/2021;null;null;null;;
31/12/2021;null;null;null;;
01/01/2022;null;null;null;;
